node   1  (   0,    0) (   9,    3) (  29,    4) (  44,    5) (  65,    7) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9)
          (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9)
          (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9)
          (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9)
          (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9)
          (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9)
          (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9)
          (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9)
          (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9)
          (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9) (  81,    9)
          (  81,    9) (  81,    9) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
          (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8) (  73,    8)
